Indicação de data e hora;Qual é a sua idade?;Sexo;Escolaridade;Em que bairro você mora?;Qual é a sua profissão?;Qual é o seu artista musical favorito?;Através de que meio você descobriu esse artista?;Que meio você mais usa para ouvir música?;Que meio você mais usa para conhecer novas músicas?;Você tem o hábito de ouvir o rádio?;Qual estação de rádio você mais escuta?;Em quais horários você mais ouve rádio?;Com qual finalidade você ouve o rádio?;Você acompanha algum programa de rádio específico?;Você acompanha ou gosta de algum radialista?
11/02/2015 18:31;54;0;5;Boa Vista;Produtora;Milton Nascimento;amigos;CD e Internet;amigos;Sim;Inconfidencia;Manhã;Ouvir música;Casa aberta;Elias Santos
11/03/2015 15:02;43;1;5;Planalto;adminiatrador;lulu Santos ;Rádio;Mídias Sociais (internet);Mídias Sociais (internet);Sim;102;Manhã;Ouvir música;Não;nao
11/03/2015 15:11;26;1;5;Alípio de Melo;Sociólogo;Emicida;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Sim;102,9;Manhã;Ouvir música;Não;Tutti Maravilha
11/03/2015 15:25;29;1;5;Tatuapé;Músico;The Brooklin Tabernacle Choir;Rádio;CD;Mídias Sociais (internet);Sim;Cbn;Manhã;Ouvir notícias;Não;Carlos Alberto Sardemberg
11/03/2015 15:42;24;0;4;Novo Horizonte;Analista de treinamento;Banda Catedral;Fita;CD;Mídias Sociais (internet);Sim;94,9;Noite;Ouvir música, Conhecer músicas novas, Ouvir notícias;não;não
11/03/2015 15:50;24;0;3;Paulo VI;Auxiliar Administrativo;Ministério Pedars Vivas;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
11/03/2015 16:04;29;1;4;Jardim Cruzeiro, Mauá - SP;Músico;Brahms;Amigos;Mídias Sociais (internet);Rádio;Sim;Nova Brasil;Tarde;Ouvir música, Ouvir notícias, Obter informações sobre o trânsito;Sim;Não
11/03/2015 16:05;23;1;3;Jardim Da Glória;Desempregado;Rihanna;TV;Celular;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
11/03/2015 16:05;37;1;3;Ribeiro de Abreu;Analista de suporte;Dio;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Sim;CDL;Noite;Ouvir música;nao;nao
11/03/2015 17:22;26;0;3;sagrada familia;estagiário;Katy Perry;Rádio;Mídias Sociais (internet);Mídias Sociais (internet);Sim;91.9;Manhã;Ouvir música;não;não
11/03/2015 18:41;28;1;4;Flamengo;Professor ;David Gilmour ;CD;Pen drive carro;Mídias Sociais (internet);Sim;98,3;Manhã;Ouvir música, Obter informações sobre o trânsito;Não;Não
11/03/2015 19:26;35;0;5;São Lucas ;Advogada;Eddie vedder;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Sim;100,9;Manhã;Ouvir música;Nao;Não 
11/03/2015 22:40;28;0;2;São Benedito;Negociadora ;Michael Jackson;Rádio;Rádio;Rádio;Sim;Itatiaia;Manhã;Ouvir música, Ouvir notícias, Obter informações sobre o trânsito;Jornal Itatiaia;Carlos Viana
11/03/2015 23:45;24;0;3;sion;babá;jads e jadson;Rádio;Rádio;Mídias Sociais (internet);Sim;liberdade fm;Tarde;Ouvir música, Ouvir notícias;não;não
11/04/2015 01:15;18;0;3;Frimisa;desempregada;Charlie Brown Junior;Rádio;Rádio;Mídias Sociais (internet);Sim;jovem pan;Tarde;Ouvir música;graffite;Luiz Eduardo Schechtel
11/04/2015 07:13;20;1;3;Santa Mônica;Técnico de Desenvolvimento Econômico e Social;Calvin Harris;Mídias Sociais (internet);Rádio;Mídias Sociais (internet);Sim;98 fm;Tarde;Ouvir música, Ouvir notícias, (humor e esporte humorado);Programa Grafitte e 98 futebol clube ;Dudu do Grafitte
11/04/2015 12:42;50;0;1;pampulha;costura;Leonardo Gonçalves;Mídias Sociais (internet);Rádio;Rádio;Sim;Feliz FM;Tarde;Ouvir música, Conhecer músicas novas, Ouvir notícias, Ouvir pregações religiosas;Não ;Não
11/04/2015 19:46;29;0;3;Sion;Eletricitária;Gosto de músicas, independente do artista. Só não gosto de Heavy Metal.;Amigos;Spotify;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
11/05/2015 12:35;35;0;3;LIBERDADE/ RIB. DAS NEVES;ASSIST. ADMINISTRATIVO;JORGE VERCILO;Mídias Sociais (internet);Rádio;Mídias Sociais (internet);Sim;ALVORADA FM;Manhã;Ouvir música;NAO;SIM
11/05/2015 18:03;34;0;4;Santa Cruz;Desenhista técnico;Banda Delirious;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Sim;Antena 1;Noite;Ouvir música;Não;Não
11/05/2015 19:29;18;0;3;SAGRADA FAMILIA;CORRETORA DE SEGUROS;BRUNO MARS;Amigos;SPOTIFY;SPOTIFY;Não;NA;NA;NA;NA;NA
08/11/2015 22:26;42;1;5;Vespasiano;Administrador;Michael Jackson;TV;Rádio;Rádio;Sim;102,9;Manhã;Ouvir música, Ouvir notícias;CBN BH;Não
11/11/2015 12:39;24;0;3;Guarani;Assistente adm;Ed Sheeran;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Sim;JOVEM PAN;Noite;Ouvir música, OUVIR JOGO DE FUTEBOL;NÃO;Osvaldo Pequetito
15/11/2015 11:55;53;0;5;Caiçara;Professora;Vários e várias;amigos, familiares, rádio, etc;cd, rádio, internet;NA;Sim;Alvorada e UFMG;Manhã;Ouvir música, Conhecer músicas novas, Ouvir notícias, Obter informações sobre o trânsito;Programas da UFMG de músicas e poesias;Alguns que sei e outros que não sei o nome
15/11/2015 16:13;50;0;2;Asteca Santa Luzia;Monitora- Educação Infantil;Roberto Carlos;Rádio;CD;Mídias Sociais (internet);Sim;Itatiaia;Manhã;Ouvir notícias;Rádio Vivo;Não
20/11/2015 08:06;38;1;3;Vale Do Jatóba;Aux.Administrativo;Liomar Pique Novo;Amigos;Amigos;Mídias Sociais (internet);Sim;FM O DIA;Manhã;Ouvir música, Conhecer músicas novas;Não;Não
